id_anggota,nama,tujuan_pinjaman,jumlah_pinjaman,tenor,cicilan,simp_wajib,simp_sukarela,simp_pensiun,simp_hari_raya,total_simpanan,rasio_simpanan,week_past_due,label_risiko
PU-240-24-02-000121,RAMINAH,"JUAL JASA",5600000,50,138880,2000,30923,92370,101387,226680,0.0405,21,Macet
PU-240-24-03-000227,TATI,"JUAL PAKAIAN",3000000,75,54400,37000,31702,49462,0,118164,0.0394,37,Macet
PU-240-24-05-000351,ENCUM,WARUNGAN,1500000,50,37200,690200,9490,18098,2814,720602,0.4804,30,Macet
PU-240-20-02-000189,"ADE NURLELA","JUAL PAKAIAN",3000000,50,75000,137000,2791,38832,0,178623,0.0595,9,Diragukan
PU-240-21-07-000738,ASRIAH,PERTANIAN,5000000,50,124000,885000,40528,56546,8993,991067,0.1982,19,Macet
PU-240-21-09-001060,EPA,WARUNGAN,3000000,50,74400,68000,36937,36671,0,141608,0.0472,29,Macet
PU-240-22-07-001119,"SITI ROHMAH","JUAL SAYURAN",3000000,50,74400,86000,22736,35486,0,144222,0.0481,20,Macet
PU-240-22-08-001296,ENAH,"JUAL MAKANAN",4500000,50,111600,609000,3295,56188,37995,706478,0.157,14,Macet
PU-240-22-09-001526,SANEAH,"JUAL MAKANAN",3500000,50,86800,601000,10998,70963,7797,690758,0.1974,32,Macet
PU-240-22-11-002106,"IDAR AMALIAH","JUAL MAKANAN",6000000,50,148800,1611000,6418,152103,70653,1840174,0.3067,18,Macet
PU-240-23-01-000182,ANOH,WARUNGAN,1600000,50,39680,347000,8244,78347,30753,464344,0.2902,42,Macet
PU-240-23-01-000183,SUHARTI,"JUAL PAKAIAN",4450000,50,110360,1462000,4040,133018,13413,1612471,0.3624,42,Macet
PU-240-23-05-000845,NUNUNG,WARUNGAN,4000000,50,99200,1221000,48461,113884,121005,1504350,0.3761,32,Macet
PU-240-23-08-001464,"NENG NURSAMSIAH","JUAL MAKANAN",3000000,50,74400,29000,36200,33414,7771,106385,0.0355,42,Macet
PU-240-23-09-001511,MULYATI,"JUAL MAKANAN",2000000,50,49600,62000,34913,22469,7062,126444,0.0632,6,Diragukan
PU-240-23-09-001512,YANI,"JUAL MAKANAN",3000000,50,74400,98000,61270,33414,8640,201324,0.0671,19,Macet
PU-240-23-09-001666,"ANI NURYANI","JUAL MAKANAN",3000000,50,74400,122000,36780,33414,0,192194,0.0641,11,Diragukan
PU-240-23-09-001667,ETIN,"JUAL MAKANAN",3000000,50,74400,68000,70152,33414,30102,201668,0.0672,29,Macet
PU-240-23-10-001910,"SARTI ARYANTI","JUAL MAKANAN",3000000,50,74400,71000,11541,33290,0,115831,0.0386,28,Macet
PU-240-24-02-000140,ATIKAH,"JUAL MAKANAN",2000000,50,49600,24000,21744,22013,8157,75914,0.038,25,Macet
PU-240-24-03-000291,JASINAH,"JUAL MAKANAN",4000000,50,99200,1434000,10439,46527,41896,1532862,0.3832,29,Macet
PU-240-24-06-000504,SARTIKA,"JUAL MAKANAN",5000000,50,124000,187000,28590,53843,11158,280591,0.0561,26,Macet
PU-240-24-08-000692,JAWIAH,"JUAL MAKANAN",3000000,50,74400,80000,13795,31948,7438,133181,0.0444,25,Macet
PU-240-24-09-000816,RUMI,WARUNGAN,4200000,75,62720,167000,49500,53843,12898,283241,0.0674,64,Macet
PU-240-24-12-001107,ERUM,PERTANIAN,3000000,50,74400,83000,2994,31460,2248,119702,0.0399,13,Macet
PU-240-19-08-000836,AMINAH,"JUAL ALAT RUMAH TANGGA",3000000,50,75000,42000,57855,10567,0,110422,0.0368,3,Lancar
PU-240-19-09-001027,RASIAH,WARUNGAN,3000000,50,75000,47000,8526,36305,0,91831,0.0306,11,Diragukan
PU-240-19-11-001593,RUMINAH,"JUAL MAKANAN",3000000,50,75000,110000,41500,38832,7935,198267,0.0661,14,Macet
PU-240-21-06-000459,YANAH,"JUAL MAKANAN",5000000,25,224000,5000,2500,60690,0,68190,0.0136,6,Diragukan
PMB-240-24-01-000002,SAETI,WARUNGAN,10000000,75,181333,1231000,63756,113260,13209,1421225,0.1421,47,Macet
PRR-240-24-12-000004,OTIH,"RENOVASI RUMAH",16500000,100,181500,249000,41699,190863,35522,517084,0.0313,45,Macet
PU-240-21-09-001068,"NUR FADHILAH",WARUNGAN,3000000,50,74400,77000,41400,36671,0,155071,0.0517,26,Macet
PU-240-23-11-001999,ARSAENAH,"JUAL MAKANAN",4000000,50,99200,132000,38239,44386,0,214625,0.0537,26,Macet
PU-240-23-02-000258,HASANAH,WARUNGAN,2800000,100,41440,685000,11415,46716,7411,750542,0.2681,82,Macet
PU-240-23-02-000430,"ELIS SUSILAWATI","JUAL MAKANAN",4000000,50,99200,302000,5600,81643,8281,397524,0.0994,43,Macet
PU-240-23-07-001268,"NENG TINA AMELIA","LAIN LAIN INVESTASI",5000000,50,124000,561000,115743,58656,7711,743110,0.1486,46,Macet
PU-240-23-09-001742,YANTI,"JUAL MAKANAN",2700000,75,48960,379000,29242,30999,6827,446068,0.1652,59,Macet
PU-240-24-08-000656,"ATI SSUMYATI","JUAL MAKANAN",2000000,50,49600,16000,18447,21461,7103,63011,0.0315,14,Macet
PU-240-25-07-000299,ARSIH,"JUAL MAKANAN",2600000,100,27560,1034000,19182,69684,0,1122866,0.4319,6,Diragukan
PMB-240-23-12-000084,MARYANAH,"JUAL MAKANAN",13250000,75,240267,2645000,174236,494444,13319,3326999,0.2511,56,Macet
PMB-240-23-12-000088,"DEWI PUSPITA","JUAL MAKANAN",15000000,50,372000,1146000,296013,269021,14492,1725526,0.115,31,Macet
PU-240-23-02-000350,ROSITA,"JUAL MAKANAN",4000000,50,99200,345000,3523,81697,78729,508949,0.1272,32,Macet
PU-240-23-02-000351,MASITOH,"JUAL MAKANAN",3000000,50,74400,128000,49600,34393,233173,445166,0.1484,9,Diragukan
PU-240-23-06-000951,"FITRI NOVITA","JUAL MAKANAN",3000000,50,74400,104000,68248,33785,0,206033,0.0687,17,Macet
PU-240-23-08-001386,MARWATI,"JUAL MAKANAN",3000000,50,74400,74000,55485,33414,0,162899,0.0543,27,Macet
PU-240-23-08-001387,ANAH,"JUAL MAKANAN",3000000,50,74400,95000,8074,33414,13140,149628,0.0499,20,Macet
PU-240-23-09-001571,"CICIH KURNIA","JUAL MAKANAN",3000000,50,74400,65000,2500,33414,7429,108343,0.0361,30,Macet
PU-240-23-09-001622,"TIKA KARTIKA","JUAL MAKANAN",3000000,50,74400,98000,13000,33414,18324,162738,0.0542,19,Macet
PU-240-23-09-001718,INING,"JUAL MAKANAN",3000000,50,74400,95000,58343,33290,24891,211524,0.0705,20,Macet
PU-240-23-10-001867,ABAY,"JUAL MAKANAN",3000000,50,74400,47000,26763,33290,57424,164477,0.0548,36,Macet
PU-240-23-11-002089,JULINDA,"JUAL MAKANAN",6500000,50,161200,1406000,2188,151024,0,1559212,0.2399,46,Macet
PU-240-23-12-002195,RUMSIAH,"JUAL PAKAIAN",6000000,50,148800,518000,14786,112593,27160,672539,0.1121,32,Macet
PU-240-24-03-000310,"IIM APRIYANTI","JUAL MAKANAN",6000000,50,148800,462000,49999,111023,14797,637819,0.1063,34,Macet
PU-240-19-10-001244,NENENG,"JUAL PAKAIAN",2800000,50,70000,251000,68672,3427,0,323099,0.1154,13,Macet
PU-240-19-10-001280,"LINA HERLINA","JUAL PAKAIAN",2800000,50,70000,226000,27115,62162,0,315277,0.1126,25,Macet
PMB-240-24-09-000081,ASNAH,WARUNGAN,12300000,75,183680,198000,170609,173032,0,541641,0.044,39,Macet
PMB-240-24-12-000124,AMI,"LAIN LAIN INVESTASI",10350000,50,231840,2857000,147781,175621,12493,3192895,0.3085,50,Macet
PRR-240-22-08-000007,"SITI JUNARIAH","RENOVASI RUMAH",24000000,102,329412,1734000,230941,120618,14578,2100137,0.0875,70,Macet
PU-240-23-01-000213,MARYAM,"JUAL MAKANAN",5000000,75,90667,1640000,22497,58931,12084,1733512,0.3467,64,Macet
PU-240-23-05-000860,SAENAH,"JUAL PAKAIAN",6950000,75,126027,2124000,86064,80387,14681,2305132,0.3317,56,Macet
PU-240-23-12-002150,MASRI,"JUAL ALAT RUMAH TANGGA",3000000,50,74400,47000,62600,33046,67971,210617,0.0702,34,Macet
PU-240-20-10-001064,TUNI,"LAIN LAIN INVESTASI",3500000,50,86800,551000,5580,107201,0,663781,0.1897,15,Macet
PU-240-22-12-002193,INDENG,"JUAL MAKANAN",1950000,75,35360,386000,4800,81739,0,472539,0.2423,61,Macet
PU-240-22-12-002195,ASWI,"JUAL MAKANAN",1150000,50,28520,120000,6551,36671,0,163222,0.1419,40,Macet
PU-240-22-12-002270,"WAWAT KURNIAWAN","LAIN LAIN INVESTASI",1850000,50,45880,875000,3349,123310,0,1001659,0.5414,45,Macet
PU-240-22-12-002271,RUMINAH,"LAIN LAIN INVESTASI",2050000,75,37173,736000,33634,3485,0,773119,0.3771,68,Macet
PU-240-22-12-002405,SUHETI,"JUAL JASA",3000000,50,74400,29000,69835,34629,54165,187629,0.0625,42,Macet
PU-240-23-01-000212,RASTI,WARUNGAN,3000000,50,74400,95000,12969,34393,0,142362,0.0475,18,Macet
PU-240-23-05-000810,TITI,WARUNGAN,2350000,100,34780,53000,10399,34629,12151,110179,0.0469,96,Macet
PSA-240-20-11-000018,"AI SUNAIAH",SANITASI,6000000,101,85545,8000,36774,145498,0,190272,0.0317,67,Macet
PSA-240-21-01-000001,AMSAH,SANITASI,6000000,101,85545,18000,2240,127830,0,148070,0.0247,77,Macet
PU-240-20-02-000204,"AAS YUNENGSIH",WARUNGAN,3000000,50,75000,5000,39007,36580,0,80587,0.0269,14,Macet
PU-240-20-04-000478,DEWI,WARUNGAN,4000000,50,100000,384000,12702,53075,0,449777,0.1124,29,Macet
PU-240-20-04-000483,YATI,WARUNGAN,5000000,50,125000,481000,492615,59217,0,1032832,0.2066,28,Macet
PU-240-20-08-000879,SARNITI,PERTANIAN,3000000,50,74400,119000,34370,38616,0,191986,0.064,11,Diragukan
PU-240-20-12-001515,MARSIH,WARUNGAN,3000000,50,74400,8000,6903,33766,0,48669,0.0162,20,Macet
PU-240-20-12-001516,ETI,WARUNGAN,3000000,50,74400,11000,32344,69131,0,112475,0.0375,22,Macet
PU-240-20-12-001517,ARUM,WARUNGAN,3000000,50,74400,14000,47251,36306,0,97557,0.0325,18,Macet
PU-240-21-01-000012,SURTINI,"WARUNG MAKAN/WARUNG KOPI",4500000,50,111600,73000,62252,54526,0,189778,0.0422,34,Macet
PU-240-21-01-000013,ASIH,WARUNGAN,5500000,50,136400,817000,59968,95426,0,972394,0.1768,27,Macet
PU-240-21-01-000061,"AI SUNAIAH","JUAL MAKANAN",6000000,50,148800,8000,36774,145498,0,190272,0.0317,35,Macet
PU-240-21-02-000167,AMSAH,"JUAL PAKAIAN",5000000,50,124000,18000,2240,127830,0,148070,0.0296,33,Macet
PU-240-21-03-000372,"BAYI HAYATI",WARUNGAN,5000000,50,148800,7000,957930,97398,0,1062328,0.2125,13,Macet
PU-240-21-09-001023,SONIA,WARUNGAN,3000000,25,134400,62000,44400,36671,0,143071,0.0477,6,Diragukan
PU-240-22-12-002235,ROHETY,"JUAL MAKANAN",2400000,50,59520,129000,198985,2065,0,330050,0.1375,38,Macet
PU-240-23-02-000322,"ELA NURMALASARI",WARUNGAN,3000000,50,74400,119000,21624,2069,0,142693,0.0476,39,Macet
PU-240-23-02-000323,NURLELA,WARUNGAN,2500000,50,62000,50000,7166,76664,0,133830,0.0535,42,Macet
PU-240-19-10-001175,HENI,"JUAL SAYURAN",2800000,50,70000,5000,12513,2217,0,19730,0.007,6,Diragukan
PU-240-19-10-001299,RUMSIH,WARUNGAN,2800000,50,70000,23000,2135,55303,0,80438,0.0287,19,Macet
PU-240-19-10-001301,HARDIANTINI,WARUNGAN,2800000,50,70000,11000,21484,62162,0,94646,0.0338,23,Macet
PU-240-20-02-000241,SUARTINI,WARUNGAN,3000000,50,75000,44000,33305,38832,0,116137,0.0387,36,Macet
PU-240-20-02-000242,YANTI,WARUNGAN,3000000,50,75000,29000,41546,38832,0,109378,0.0365,41,Macet
PU-240-20-02-000243,"NOVI YANTI","JUAL PAKAIAN",3000000,50,75000,50000,213699,32247,0,295946,0.0986,33,Macet
PU-240-20-03-000308,"SITI HODIZAH",WARUNGAN,3000000,50,75000,8000,15456,42538,0,65994,0.022,22,Macet
PRR-240-22-10-000010,"LENI FARIHAH N","RENOVASI RUMAH",18700000,152,184539,1397000,246496,16513,0,1660009,0.0888,142,Macet
PU-240-23-08-001381,HADIJAH,"JUAL MAKANAN",4000000,50,99200,1404000,61239,47970,104651,1617860,0.4045,36,Macet
PU-240-23-09-001509,"SRI UMAMI",WARUNGAN,3000000,50,74400,83000,12100,33414,0,128514,0.0428,24,Macet
PSA-240-22-12-000032,MARWATI,AIR,6000000,101,85545,405000,5804,67843,0,478647,0.0798,74,Macet
PU-240-22-03-000509,YEYEN,WARUNGAN,3000000,50,74400,122000,49288,35730,0,207018,0.069,11,Diragukan
PU-240-22-09-001587,SUMIYATI,WARUNGAN,4000000,50,99200,330000,4224,83144,0,417368,0.1043,35,Macet
PU-240-23-11-002087,ASMINAH,"JUAL MAKANAN",5000000,50,124000,107000,544924,94500,0,746424,0.1493,28,Macet
PU-240-24-01-000049,DARSIH,"JUAL MAKANAN",2900000,100,42920,483500,485933,34864,0,1004297,0.3463,67,Macet
PU-240-24-01-000050,KADIEM,PERTANIAN,3750000,50,93000,795000,468832,73759,0,1337591,0.3567,35,Macet
PU-240-24-01-000086,JAMINAH,"JUAL SAYURAN",5550000,100,82140,794500,154175,86673,0,1035348,0.1865,76,Macet
PU-240-24-01-000087,SAMINAH,WARUNGAN,2100000,50,52080,83000,110097,33661,12000,238758,0.1137,42,Macet
PU-240-24-12-001143,DINDA,WARUNGAN,4100000,100,45920,1080000,90419,58476,0,1228895,0.2997,19,Macet
PU-240-25-01-000030,YATI,PERTANIAN,3700000,100,41440,432000,25827,204414,0,662241,0.179,53,Macet
PU-240-25-02-000088,JANAH,PERTANIAN,2650000,100,29680,388000,322375,37294,0,747669,0.2821,53,Macet
PU-240-22-12-002391,EMOY,PERTANIAN,2900000,100,42920,659000,15300,146525,16974,837799,0.2889,100,Macet
PU-240-23-03-000630,OMRAH,WARUNGAN,8000000,50,198400,1816000,938619,97243,88303,2940165,0.3675,37,Macet
PU-240-23-05-000791,"IIM SETIAWATI","JUAL MAKANAN",6000000,50,148800,1363000,12400,300212,60669,1736281,0.2894,39,Macet
PU-240-23-06-001108,ASTI,"JUAL MAKANAN",5000000,50,124000,652000,86001,66154,0,804155,0.1608,28,Macet
PU-240-23-06-001109,NANIH,"JUAL MAKANAN",4000000,50,99200,287000,26600,80533,56021,450154,0.1125,48,Macet
PU-240-23-08-001395,OOM,"LAIN LAIN INVESTASI",4200000,50,104160,1728000,63035,50304,7660,1848999,0.4402,36,Macet
PU-240-23-12-002160,CICIH,WARUNGAN,4800000,75,87040,1868000,52630,150291,8945,2079866,0.4333,73,Macet
PU-240-24-06-000499,JUMRAH,PERTANIAN,4000000,50,99200,330000,188966,76788,0,595754,0.1489,35,Macet
PMB-240-23-07-000037,"IDA HAMIDAH",WARUNGAN,10000000,50,248000,1552000,48859,113938,0,1714797,0.1715,12,Diragukan
PRR-240-23-06-000012,TATI,"RENOVASI RUMAH",24000000,152,236842,1230000,61226,65683,0,1356909,0.0565,96,Macet
PSA-240-22-08-000017,SARNITI,"AIR DAN SANITASI",6000000,101,85545,436500,23000,70279,0,529779,0.0883,17,Macet
PSA-240-23-02-000002,NYAI,SANITASI,6000000,101,85545,566000,4896,67789,0,638685,0.1064,41,Macet
PU-240-23-09-001719,"NENI MAGALENI","JUAL SAYURAN",4000000,50,99200,380000,14800,79679,29100,503579,0.1259,20,Macet
PU-240-23-10-001761,ANAH,WARUNGAN,4000000,50,99200,385000,47101,79637,7025,518763,0.1297,21,Macet
PU-240-23-11-002019,TATI,WARUNGAN,6000000,50,148800,1230000,61226,65683,0,1356909,0.2262,21,Macet
PRR-240-22-12-000013,UCU,"RENOVASI RUMAH",23000000,152,226974,1868000,2507,84870,0,1955377,0.085,131,Macet
PRR-240-23-03-000006,ENCUM,"TEMPAT USAHA",19700000,152,194408,1832000,132729,69330,7534,2041593,0.1036,136,Macet
PU-240-22-06-001004,"SITI ROBEAH",PERTANIAN,3000000,50,74400,134000,12800,35486,13117,195403,0.0651,7,Diragukan
PU-240-22-10-001632,EMI,PERTANIAN,5000000,50,124000,1149000,110465,72771,17099,1349335,0.2699,13,Macet
PU-240-22-10-001770,JUHETI,PERTANIAN,6000000,50,148800,1565000,60869,72823,32173,1730865,0.2885,15,Macet
PU-240-22-12-002224,ARIAH,PERTANIAN,7000000,50,173600,1734000,387844,83810,7366,2213020,0.3161,14,Macet
PU-240-23-03-000507,UCU,PERTANIAN,7000000,50,173600,1868000,2507,84870,0,1955377,0.2793,44,Macet
PU-240-23-04-000704,ENCUM,PERTANIAN,6000000,50,148800,1832000,132729,69330,7534,2041593,0.3403,47,Macet
PU-240-23-06-001010,ENOK,PERTANIAN,800000,50,19840,153000,21870,10536,7220,192626,0.2408,20,Macet
PMB-240-23-03-000022,LINDAWATI,WARUNGAN,10000000,50,248000,1141000,190052,121321,0,1452373,0.1452,20,Macet
PMB-240-24-08-000076,SUBIYAH,"LAIN LAIN INVESTASI",15000000,75,272000,2202000,979725,165597,0,3347322,0.2232,46,Macet
PU-240-21-12-001653,"TITI HARYATI","JUAL PAKAIAN",5000000,50,124000,713000,30669,54984,0,798653,0.1597,22,Macet
PU-240-22-08-001323,"ANIS SULASTRI","JUAL OBAT, JAMU, KOSMETIK, CNI DLL",3000000,50,74400,116000,81288,35239,12000,244527,0.0815,13,Macet
PU-240-22-11-002035,"ELA NURLELA",WARUNGAN,3100000,50,76880,740000,10423,62747,0,813170,0.2623,32,Macet
PU-240-22-12-002316,ENONG,"JUAL IKAN DAN LAINNYA",2000000,50,49600,368000,19674,7378,24756,419808,0.2099,35,Macet
PU-240-23-01-000030,ISAH,"JUAL MAKANAN",2700000,75,48960,92000,36207,34875,7000,170082,0.063,54,Macet
PU-240-23-01-000139,"SITI BALDAH",PERTANIAN,2500000,75,45333,625000,2432,29406,0,656838,0.2627,43,Macet
PU-240-23-03-000511,IMNAH,"JUAL OBAT, JAMU, KOSMETIK, CNI DLL",3600000,75,65280,1213000,39104,41354,0,1293458,0.3593,35,Macet
PU-240-23-06-001025,USAH,"JUAL MAKANAN",3000000,50,74400,113000,14565,33785,17555,178905,0.0596,14,Macet
PU-240-23-07-001165,SULANAH,WARUNGAN,3000000,50,74400,38000,34672,33661,0,106333,0.0354,38,Macet
PU-240-23-07-001205,MAEMUNAH,"JUAL MAKANAN",3000000,50,74400,110000,25218,33661,12742,181621,0.0605,15,Macet
PU-240-23-08-001424,"KOKOM KOMARIAH","JUAL MAKANAN",3000000,25,134400,65000,23300,33414,12468,134182,0.0447,5,Diragukan
PU-240-23-10-001850,"LIA LESTARI","JUAL SAYURAN",3000000,50,74400,38000,25600,33290,0,96890,0.0323,39,Macet
PU-240-23-10-001907,"UNI RUSMINI",WARUNGAN,4000000,50,99200,353000,185605,79267,17737,635609,0.1589,30,Macet
PU-240-24-07-000567,ARSIH,"JUAL IKAN DAN LAINNYA",4000000,50,99200,431000,138114,76786,24348,670248,0.1676,12,Diragukan
PU-240-22-06-000854,ASTI,"JUAL ALAT RUMAH TANGGA",3000000,50,74400,74000,35200,35610,28794,173604,0.0579,28,Macet
PU-240-22-06-001002,NUNUNG,PERTANIAN,3000000,50,74400,474000,27455,98305,0,599760,0.1999,16,Macet
PU-240-23-07-001280,LIA,WARUNGAN,6000000,50,148800,282000,46258,220740,0,548998,0.0915,12,Diragukan
PU-240-24-12-001158,MARIAH,"JUAL SAYURAN",2400000,100,25440,887000,84107,51376,0,1022483,0.426,53,Macet
PU-240-25-02-000091,SAHANAH,WARUNGAN,2950000,75,44053,1467000,583230,48155,0,2098385,0.7113,52,Macet
PU-240-23-03-000673,ARNISAH,"JUAL SAYURAN",6000000,50,148800,1602000,638014,73593,17259,2330866,0.3885,30,Macet
PU-240-23-11-002082,NURHAYATI,"JUAL SAYURAN",5000000,50,124000,602000,637606,136579,17701,1393886,0.2788,38,Macet
PU-240-24-03-000304,TITI,"JUAL IKAN DAN LAINNYA",10000000,50,248000,698300,56277,202096,13523,970196,0.097,48,Macet
PU-240-24-07-000614,AMNAH,PERTANIAN,4000000,50,99200,302000,505954,76412,39844,924210,0.2311,36,Macet
PU-240-24-10-000887,CARINAH,"LAIN LAIN INVESTASI",3200000,100,35840,236000,541332,43840,12948,834120,0.2607,34,Macet
PU-240-23-02-000335,SUKANAH,"JUAL MAKANAN",4000000,50,99200,350000,16032,48929,0,414961,0.1037,30,Macet
PU-240-23-05-000778,"LELA MARSELA",WARUNGAN,3000000,50,74400,77000,20540,33905,0,131445,0.0438,25,Macet
PU-240-23-07-001193,JANI,"JUAL MAKANAN",2700000,50,66960,684000,38154,35618,0,757772,0.2807,44,Macet
PU-240-23-07-001278,BAI,"JUAL MAKANAN",3000000,50,74400,44000,57699,33661,7000,142360,0.0475,37,Macet
PU-240-23-11-002070,ENOK,"JUAL JASA",6000000,50,148800,1385000,30658,70682,0,1486340,0.2477,25,Macet
PU-240-24-08-000691,"PITRI HANDAYANI","JUAL IKAN DAN LAINNYA",3000000,50,74400,92000,15400,31948,0,139348,0.0464,21,Macet
PU-240-24-08-000743,KANISAH,"JUAL MAKANAN",1300000,75,18373,154000,16900,16284,0,187184,0.144,47,Macet
PU-240-24-12-001159,RINI,"JUAL MAKANAN",2900000,100,32480,374500,2000,101036,0,477536,0.1647,47,Macet
PU-240-25-01-000061,TINI,"JUAL MAKANAN",1400000,50,29680,430000,11476,78533,0,520009,0.3714,38,Macet
PU-240-25-10-000484,YAYAH,PETERNAKAN,4170000,100,46704,1002000,22561,176498,0,1201059,0.288,19,Macet
PU-240-22-09-001426,KASEM,"JUAL JASA",3000000,50,74400,116000,4625,35119,37926,193670,0.0646,13,Macet
PU-240-22-11-001896,IMAS,"JUAL MAKANAN",3000000,50,74400,98000,7600,34875,12285,152760,0.0509,19,Macet
PU-240-22-12-002232,NENI,"JUAL MAKANAN",4000000,25,179200,104000,9800,46396,105494,265690,0.0664,8,Diragukan
PU-240-22-12-002313,"ISMA JIPAYANTI","JUAL MAKANAN",3000000,50,74400,89000,20800,34629,8857,153286,0.0511,22,Macet
PU-240-22-12-002371,"MITA RAYANTI","JUAL MAKANAN",3000000,50,74400,101000,48200,34629,7389,191218,0.0637,18,Macet
PU-240-23-01-000031,"ENOK SUHARTINI",WARUNGAN,3800000,75,68907,1429000,22800,55393,0,1507193,0.3966,64,Macet
PU-240-23-01-000088,"NINING YUNENGSIH","JUAL MAKANAN",3500000,50,86800,570000,102299,119173,13877,805349,0.2301,30,Macet
PU-240-23-02-000239,"TINEU AGUSTINA","LAIN LAIN INVESTASI",3750000,75,68000,1521000,28295,78550,31185,1659030,0.4424,50,Macet
PU-240-23-06-000933,"KENAH SUKAENAH","JUAL IKAN DAN LAINNYA",4000000,50,99200,208000,39400,45310,0,292710,0.0732,7,Diragukan
PU-240-23-09-001641,CICIH,"JUAL IKAN DAN LAINNYA",3000000,50,74400,71000,39200,33414,17485,161099,0.0537,28,Macet
PU-240-23-10-001765,TOHIROH,"JUAL MAKANAN",3000000,50,74400,71000,38200,33290,17676,160166,0.0534,28,Macet
PU-240-23-11-001981,IPAH,"JUAL IKAN DAN LAINNYA",3000000,50,74400,29000,48800,33046,52101,162947,0.0543,42,Macet
PU-240-23-11-002021,WIDIA,"JUAL JASA",3000000,50,74400,62000,32400,33046,0,127446,0.0425,31,Macet
PU-240-23-11-002081,CHRISTIEN,WARUNGAN,3000000,50,74400,56000,27391,33046,0,116437,0.0388,33,Macet
PU-240-23-12-002215,MASKAH,"JUAL IKAN DAN LAINNYA",5800000,75,105173,1344000,6657,84017,7972,1442646,0.2487,66,Macet
PU-240-24-01-000079,SUSAN,"JUAL MAKANAN",3000000,50,74400,20000,13000,32800,29680,95480,0.0318,45,Macet
PU-240-24-01-000107,SAMINAH,"JUAL SAYURAN",3000000,50,74400,29000,155919,32684,51618,269221,0.0897,42,Macet
PU-240-24-02-000163,DEWI,WARUNGAN,3500000,100,51800,1429000,10018,223895,8502,1671415,0.4775,94,Macet
PU-240-24-02-000164,"DEDEH KURNIASIH","LAIN LAIN INVESTASI",7850000,100,116180,2570000,25745,191689,36125,2823559,0.3597,97,Macet
PU-240-24-02-000180,"ERLA NAZMIATUL HASANAH","LAIN LAIN INVESTASI",4000000,50,99200,384000,25272,89899,0,499171,0.1248,44,Macet
PMB-240-24-12-000113,ANIS,"WARUNG MAKAN/WARUNG KOPI",10500000,75,156800,366000,9666,65687,0,441353,0.042,38,Macet
PRT-240-23-08-000002,"NENG SRI AZI ZAHRA",ETALASE,3000000,50,72000,297000,30359,61444,26768,415571,0.1385,13,Macet
PU-240-21-08-000874,"ASIH PURNAMA SARI","LAIN LAIN INVESTASI",4000000,50,99200,314000,91343,87703,13007,506053,0.1265,39,Macet
PU-240-22-11-001964,FITRIA,WARUNGAN,3000000,50,74400,26000,34600,34875,0,95475,0.0318,44,Macet
PU-240-22-11-001965,BAYI,PERTANIAN,3000000,50,74400,23000,39600,34875,0,97475,0.0325,44,Macet
PU-240-22-11-002143,"YUYUM SAFITRI","JUAL SAYURAN",3000000,50,74400,128000,47993,34629,0,210622,0.0702,9,Diragukan
PU-240-23-07-001168,"SITI KHADIJAH","JUAL MAKANAN",1850000,50,45880,105000,14752,34875,0,154627,0.0836,34,Macet
